Target_Dev_Family,Target_Dev,BRAM_18K,DSP48E,FF,LUT,BRAM_18K_avail,DSP48E_avail,FF_avail,LUT_avail,BRAM_18K_RATIO,DSP48E_RATIO,FF_RATIO,LUT_RATIO,Target_CP,Estimated_CP,Clock_Uncertainty,DSP_BRAM_18K,DSP_DSP48E,DSP_FF,DSP_LUT,EXP_BRAM_18K,EXP_DSP48E,EXP_FF,EXP_LUT,FIFO_BRAM_18K,FIFO_DSP48E,FIFO_FF,FIFO_LUT,MEM_BRAM_18K,MEM_DSP48E,MEM_FF,MEM_LUT,MUX_BRAM_18K,MUX_DSP48E,MUX_FF,MUX_LUT,REG_BRAM_18K,REG_DSP48E,REG_FF,REG_LUT,MEM_WORDS_TOTAL,MEM_BITS_TOTAL,MEM_BANKS_TOTAL,MEM_TOTAL_TOTAL,MUX_INSIZE_TOTAL,MUX_BITWIDTH_TOTAL,MUX_TOTALBITS_TOTAL,mul_op_lut,mul_op_ff,mul_op_dsp,add_op_lut,add_op_ff,add_op_dsp,sub_op_lut,sub_op_ff,sub_op_dsp,or_op_lut,or_op_ff,or_op_dsp,and_op_lut,and_op_ff,and_op_dsp,xor_op_lut,xor_op_ff,xor_op_dsp,shl_op_lut,shl_op_ff,shl_op_dsp,lshr_op_lut,lshr_op_ff,lshr_op_dsp,ashr_op_lut,ashr_op_ff,ashr_op_dsp,ctlz_op_lut,ctlz_op_ff,ctlz_op_dsp,cttz_op_lut,cttz_op_ff,cttz_op_dsp,icmp_op_lut,icmp_op_ff,icmp_op_dsp,select_op_lut,select_op_ff,select_op_dsp,mul_sum,add_sum,sub_sum,or_sum,and_sum,xor_sum,shl_sum,lshr_sum,ashr_sum,ctlz_sum,cttz_sum,icmp_sum,select_sum,dexp_lut,dexp_ff,dexp_dsp,dexp_bram,ext_lut,ext_ff,ext_dsp,ext_bram,fsub_lut,fsub_ff,fsub_dsp,fsub_bram,srem_lut,srem_ff,srem_dsp,srem_bram,frem_lut,frem_ff,frem_dsp,frem_bram,dmul_lut,dmul_ff,dmul_dsp,dmul_bram,urem_lut,urem_ff,urem_dsp,urem_bram,fmul_lut,fmul_ff,fmul_dsp,fmul_bram,frecip_lut,frecip_ff,frecip_dsp,frecip_bram,dsqrt_lut,dsqrt_ff,dsqrt_dsp,dsqrt_bram,drem_lut,drem_ff,drem_dsp,drem_bram,others_lut,others_ff,others_dsp,others_bram,icmp_lut,icmp_ff,icmp_dsp,icmp_bram,fsqrt_lut,fsqrt_ff,fsqrt_dsp,fsqrt_bram,dsub_lut,dsub_ff,dsub_dsp,dsub_bram,ddiv_lut,ddiv_ff,ddiv_dsp,ddiv_bram,sub_lut,sub_ff,sub_dsp,sub_bram,lshr_lut,lshr_ff,lshr_dsp,lshr_bram,sdiv_lut,sdiv_ff,sdiv_dsp,sdiv_bram,dadd_lut,dadd_ff,dadd_dsp,dadd_bram,vectors_lut,vectors_ff,vectors_dsp,vectors_bram,frsqrt_lut,frsqrt_ff,frsqrt_dsp,frsqrt_bram,mux_lut,mux_ff,mux_dsp,mux_bram,fcmp_lut,fcmp_ff,fcmp_dsp,fcmp_bram,drecip_lut,drecip_ff,drecip_dsp,drecip_bram,add_lut,add_ff,add_dsp,add_bram,fdiv_lut,fdiv_ff,fdiv_dsp,fdiv_bram,dcmp_lut,dcmp_ff,dcmp_dsp,dcmp_bram,drsqrt_lut,drsqrt_ff,drsqrt_dsp,drsqrt_bram,fadd_lut,fadd_ff,fadd_dsp,fadd_bram,mul_lut,mul_ff,mul_dsp,mul_bram,udiv_lut,udiv_ff,udiv_dsp,udiv_bram,shl_lut,shl_ff,shl_dsp,shl_bram,ashr_lut,ashr_ff,ashr_dsp,ashr_bram,CP_lsynth,LUT_lsynth,FF_lsynth,DSP_lsynth,BRAM_lsynth,SRL_lsynth,CP_impl,SLICE_impl,LUT_impl,FF_impl,DSP_impl,BRAM_impl,SRL_impl,Design_Path,Main_Report_Path,Design_Index
2,3,33,2,180885,68763,270,240,126800,63400,0.122222222,0.008333333,1.426537855,1.084589905,1,6.06,0.12,0,0,0,0,0,0,30,21904,0,0,0,0,33,0,744,93,0,0,0,4156,0,0,8788,160,1024,768,64,12288,823,1567,5323,0,0,0,12801,0,0,3000,0,0,2203,0,0,205,0,0,240,0,0,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,3286,0,0,0,4511,604,957,30,60,8,0,0,0,0,90,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42330,170897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,138,2,0,0,0,0,0,66,168,0,0,0,0,0,0,4.67,9602,9551,2,33,31,4.722,3232,9604,9659,2,33,25,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_artix7_cp_1.prj/solution,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_artix7_cp_1.prj/solution/syn/report/top_csynth.rpt,0
2,3,0,2,92162,47541,270,240,126800,63400,0,0.008333333,0.726829653,0.749858044,10,8.74,1.25,0,2,0,0,0,0,141,20710,0,0,0,0,0,0,1536,192,0,0,0,3980,0,0,3335,0,1024,768,64,12288,768,1422,5504,0,0,0,11711,0,0,2820,0,0,2203,0,0,205,0,0,240,0,0,75,108,0,23,33,0,0,0,0,0,0,0,0,0,0,147,0,0,3286,0,0,0,4511,568,957,30,60,31,10,0,0,0,90,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22659,87150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.935,7082,2400,2,0,0,8.606,2090,6957,2400,2,0,0,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_artix7_cp_10.prj/solution,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_artix7_cp_10.prj/solution/syn/report/top_csynth.rpt,0
2,3,0,2,109063,50469,270,240,126800,63400,0,0.008333333,0.860118297,0.796041009,2,8.27,0.25,0,2,0,0,0,0,30,21894,0,0,0,0,0,0,1536,192,0,0,0,4112,0,0,9180,192,1024,768,64,12288,801,1423,5540,0,0,0,12801,0,0,2990,0,0,2203,0,0,205,0,0,240,0,0,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,3286,0,0,0,4511,602,957,30,60,8,0,0,0,0,90,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23987,98106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,91,0,0,0,0,0,0,4.325,8580,7877,2,0,17,4.739,2880,8441,7936,2,0,13,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_artix7_cp_2.prj/solution,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_artix7_cp_2.prj/solution/syn/report/top_csynth.rpt,0
2,3,0,2,96544,47534,270,240,126800,63400,0,0.008333333,0.761388013,0.749747634,3,7.12,0.38,0,2,0,0,0,0,141,20500,0,0,0,0,0,0,1536,192,0,0,0,4055,0,0,7717,128,1024,768,64,12288,785,1423,5503,0,0,0,11711,0,0,2610,0,0,2203,0,0,205,0,0,240,0,0,75,108,0,23,33,0,0,0,0,0,0,0,0,0,0,147,0,0,3286,0,0,0,4511,526,957,30,60,31,10,0,0,0,90,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22659,87150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,7706,6232,2,0,0,4.455,2562,7586,6269,2,0,0,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_artix7_cp_3.prj/solution,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_artix7_cp_3.prj/solution/syn/report/top_csynth.rpt,0
2,3,33,2,93526,46796,270,240,126800,63400,0.122222222,0.008333333,0.737586751,0.738107256,5,5.97,0.62,0,2,0,0,0,0,141,20300,0,0,0,0,33,0,744,93,0,0,0,3680,0,0,5491,64,1024,768,64,12288,716,1183,4512,0,0,0,11711,0,0,2410,0,0,2203,0,0,205,0,0,240,0,0,75,108,0,23,33,0,0,0,0,0,0,0,0,0,0,147,0,0,3286,0,0,0,4511,486,957,30,60,31,10,0,0,0,90,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22659,87150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.494,5645,3891,2,33,0,4.877,1876,5585,3891,2,33,0,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_artix7_cp_5.prj/solution,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_artix7_cp_5.prj/solution/syn/report/top_csynth.rpt,0
0,0,0,2,267804,79901,1590,1260,728400,364200,0,0.001587302,0.367660626,0.219387699,1,6.45,0.12,0,0,0,0,0,0,30,12162,0,0,0,0,0,0,1536,192,0,0,0,4296,0,0,9694,192,1024,768,64,12288,843,1423,5582,0,0,0,4565,0,0,3120,0,0,1009,0,0,54,0,0,60,0,0,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,3286,0,0,0,1127,610,957,30,60,8,0,0,0,0,90,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,612,0,0,52,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42330,170897,0,0,0,0,0,0,0,0,0,0,20461,84609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,138,2,0,0,0,0,0,66,168,0,0,0,0,0,0,2.837,11220,13778,2,0,31,3.116,4061,11201,13890,2,0,24,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_virtex7_cp_1.prj/solution,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_virtex7_cp_1.prj/solution/syn/report/top_csynth.rpt,0
0,0,0,2,91859,46092,1590,1260,728400,364200,0,0.001587302,0.126110653,0.126556837,10,8.7,1.25,0,2,0,0,0,0,141,19264,0,0,0,0,0,0,1536,192,0,0,0,3977,0,0,3032,0,1024,768,64,12288,767,1422,5506,0,0,0,11711,0,0,3000,0,0,1009,0,0,54,0,0,60,0,0,75,108,0,23,33,0,0,0,0,0,0,0,0,0,0,46,0,0,3286,0,0,0,4511,604,957,30,60,31,10,0,0,0,90,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22659,87150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.193,6956,2116,2,0,0,8.176,2090,6821,2116,2,0,0,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_virtex7_cp_10.prj/solution,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_virtex7_cp_10.prj/solution/syn/report/top_csynth.rpt,0
0,0,0,2,117460,48191,1590,1260,728400,364200,0,0.001587302,0.161257551,0.132320154,2,6.45,0.25,0,2,0,0,0,0,141,16286,0,0,0,0,0,0,1536,192,0,0,0,4121,0,0,8896,160,1024,768,64,12288,803,1423,5539,0,0,0,9368,0,0,2365,0,0,1009,0,0,54,0,0,60,0,0,75,108,0,23,33,0,0,0,0,0,0,0,0,0,0,46,0,0,3286,0,0,0,3050,462,957,30,60,31,10,0,0,0,90,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22659,87150,0,0,0,0,0,0,0,0,0,0,4662,19278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.972,7975,8643,2,0,0,3.516,2851,7991,8695,2,0,0,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_virtex7_cp_2.prj/solution,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_virtex7_cp_2.prj/solution/syn/report/top_csynth.rpt,0
0,0,0,2,96714,46155,1590,1260,728400,364200,0,0.001587302,0.132775947,0.126729819,3,6.45,0.38,0,2,0,0,0,0,141,19084,0,0,0,0,0,0,1536,192,0,0,0,4060,0,0,7887,160,1024,768,64,12288,788,1423,5527,0,0,0,11711,0,0,2820,0,0,1009,0,0,54,0,0,60,0,0,75,108,0,23,33,0,0,0,0,0,0,0,0,0,0,46,0,0,3286,0,0,0,4511,568,957,30,60,31,10,0,0,0,90,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22659,87150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833,7761,6300,2,0,0,3.235,2390,7630,6329,2,0,0,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_virtex7_cp_3.prj/solution,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_virtex7_cp_3.prj/solution/syn/report/top_csynth.rpt,0
0,0,0,2,93217,45525,1590,1260,728400,364200,0,0.001587302,0.127975014,0.125,5,4.89,0.62,0,2,0,0,0,0,141,18674,0,0,0,0,0,0,1536,192,0,0,0,4000,0,0,4390,0,1024,768,64,12288,773,1423,5512,0,0,0,11711,0,0,2410,0,0,1009,0,0,54,0,0,60,0,0,75,108,0,23,33,0,0,0,0,0,0,0,0,0,0,46,0,0,3286,0,0,0,4511,486,957,30,60,31,10,0,0,0,90,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22659,87150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.038,6785,3336,2,0,0,4.558,2099,6658,3336,2,0,0,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_virtex7_cp_5.prj/solution,/scratch/users/dai/repos/stevedai/libcharm/benchmarks/BNN/min_bnn/bnn/min_bnn_syn_dev_virtex7_cp_5.prj/solution/syn/report/top_csynth.rpt,0
